"BandNumber","BandNumberDesc","BandNumberDesc2","EffectiveFrom","EffectiveTo"
"1","Band Number 1","Band Number 1","01 Aug 2016",""
"2","Band Number 2","Band Number 2","01 Aug 2016",""
"3","Band Number 3","Band Number 3","01 Aug 2016",""
"4","Band Number 4","Band Number 4","01 Aug 2016",""
"5","Band Number 5","Band Number 5","01 Aug 2016",""
"6","Band Number 6","Band Number 6","01 Aug 2016",""
"7","Band Number 7","Band Number 7","01 Aug 2016",""
"8","Band Number 8","Band Number 8","01 Aug 2016",""
"9","Band Number 9","Band Number 9","01 Aug 2016",""
"10","Band Number 10","Band Number 10","01 Aug 2016",""
"11","Band Number 11","Band Number 11","01 Aug 2016",""
"12","Band Number 12","Band Number 12","01 Aug 2016",""
"13","Band Number 13","Band Number 13","01 Aug 2016",""
"14","Band Number 14","Band Number 14","01 Aug 2016",""
"15","Band Number 15","Band Number 15","01 Aug 2016",""
"16","Band Number 16","Band Number 16","21 Jun 2018",""
"17","Band Number 17","Band Number 17","21 Jun 2018",""
"18","Band Number 18","Band Number 18","21 Jun 2018",""
"19","Band Number 19","Band Number 19","21 Jun 2018",""
"20","Band Number 20","Band Number 20","21 Jun 2018",""
"21","Band Number 21","Band Number 21","21 Jun 2018",""
"22","Band Number 22","Band Number 22","21 Jun 2018",""
"23","Band Number 23","Band Number 23","21 Jun 2018",""
"24","Band Number 24","Band Number 24","21 Jun 2018",""
"25","Band Number 25","Band Number 25","21 Jun 2018",""
"26","Band Number 26","Band Number 26","21 Jun 2018",""
"27","Band Number 27","Band Number 27","21 Jun 2018",""
"28","Band Number 28","Band Number 28","21 Jun 2018",""
"29","Band Number 29","Band Number 29","21 Jun 2018",""
"30","Band Number 30","Band Number 30","21 Jun 2018",""
