"FundingCategory","FundingCategoryDesc","FundingCategoryDesc2","EffectiveFrom","EffectiveTo","TargetIndicator"
"24+Loan","24+ Advanced learning Loa","24+ Advanced learning Loans","01 Aug 2012","","NA"
"ADULT_LR","Adult Learner Responsive","Adult Learner Responsive","01 Aug 2012","","AIM"
"APP_ACT_COST","Apprenticeship (Activity","Apprenticeship (Activity Costs)","01 Aug 2012","","AIM"
"App_May_2017","App'ships from May 2017","Apprenticeships from May 2017","01 Aug 2016","","APP"
"App_May_2017_EM","App'ships from May 2017","Apprenticeships from May 2017","01 Aug 2016","","AIM"
"ER_OTHER","Employer Responsive (Othe","Employer Responsive (Other)","01 Aug 2012","","AIM"
"ESF","European Social Fund","European Social Fund","01 Aug 2015","","AIM"
"Matrix","Matrix","Matrix","01 Aug 2012","","AIM"
"OLASS_ADULT","Offenders Learning and Sk","Offenders Learning and Skills Service (Adult)","01 Aug 2012","","AIM"
"StandardTblazer","Standard Trailblazer","Standard Trailblazer","01 Aug 2014","","STD"
