"IssuingAuthority","IssuingAuthorityDesc","IssuingAuthorityDesc2","IssuingAuthorityUKPRN","EffectiveFrom","EffectiveTo"
"-2","Not Applicable","Not App","","01 Aug 2008",""
"-1","Unknown","Unknown","","01 Aug 2001","31 Jul 2013"
"101","Asset Skills","Asset Skills","","06 Apr 2011","31 Oct 2017"
"102","Instructus","Instructus","","06 Apr 2011",""
"103","Cogent","Cogent","","06 Apr 2011",""
"104","Creative and Cultural","Creative & Cult","","06 Apr 2011",""
"105","The Tech Partnership","The Tech Partnership","","06 Apr 2011",""
"106","EU Skills","EU Skills","","06 Apr 2011",""
"107","FSP","FSP","","06 Apr 2011","31 Oct 2017"
"108","Go Skills","Go Skills","","06 Apr 2011","31 Jul 2014"
"109","IMI","IMI","","06 Apr 2011",""
"110","Improve","Improve","","06 Apr 2011","31 Oct 2017"
"111","Lantra","Lantra","","06 Apr 2011",""
"112","LSIS","LSIS","","06 Apr 2011","31 Jul 2014"
"113","People 1st","People 1st","","06 Apr 2011",""
"114","Pro Skills","Pro Skills","","06 Apr 2011",""
"115","Skills for Care & Development","Skills for Care & Dev","","06 Apr 2011",""
"116","Skills for Health","Skills for Health","","06 Apr 2011","31 Oct 2017"
"117","Skills for Justice","Skills for Justice","","06 Apr 2011","31 Oct 2017"
"118","Skills for Logistics","Skills for Logist","","06 Apr 2011","31 Oct 2017"
"119","Skills for Security","Skills for Security","","06 Apr 2011",""
"120","SkillsActive","SkillsActive","","06 Apr 2011","31 Oct 2017"
"121","SkillsActive/Habia","SkillsActive/Habia","","06 Apr 2011",""
"122","Creative Skillset","Creative Skillset","","06 Apr 2011",""
"123","Skillsmart","Skillsmart","","06 Apr 2011","31 Oct 2017"
"124","Construction Skills","Const Skills","","06 Apr 2011",""
"125","ECITB","ECITB","","06 Apr 2011",""
"126","Semta","Semta","","06 Apr 2011",""
"127","Summit Skills","Summit Skills","","06 Apr 2011","31 Oct 2017"
"128","Learning and Skills Improvement Service","Learn & Skills Imp Svce","","01 May 2012","31 Jul 2014"
"129","People 1st for GoSkills","People 1st for GoSkills","","01 Aug 2014","31 Oct 2017"
"130","UK Fashion and Textiles Association","UK Fashion and Textiles Assoc","","01 Nov 2017",""
"131","Skills For Justice - Skills For Health","Skills For Justice-Health","","01 Nov 2017",""
"132","National Skills Academy For Food and Drink","National Skill Acad Food-Drink","","01 Nov 2017",""
