"RouteId","ParentRouteId","RouteName","RouteShortName","Target","EffectiveFrom","EffectiveTo"
"1","0","Agriculture, Environmental and Animal Care","Agric, Env & Anim Care","NotSet","01 Sep 2019","31 Dec 2600"
"2","0","Business and Administration","Bus and Admin","NotSet","01 Sep 2019","31 Dec 2600"
"3","0","Catering and Hospitality","Cater and Hosp","NotSet","01 Sep 2019","31 Dec 2600"
"4","0","Education","Educ and Childcare","NotSet","01 Sep 2019","31 Dec 2600"
"5","0","Construction","Const","NotSet","01 Sep 2019","31 Dec 2600"
"6","0","Creative and Design","Create and Design","NotSet","01 Sep 2019","31 Dec 2600"
"7","0","Digital","Digital","NotSet","01 Sep 2019","31 Dec 2600"
"8","0","Engineering and Manufacturing","Engin and Manuf","NotSet","01 Sep 2019","31 Dec 2600"
"9","0","Hair and Beauty","Hair and Beauty","NotSet","01 Sep 2019","31 Dec 2600"
"10","0","Health and Science","Hlth and Science","NotSet","01 Sep 2019","31 Dec 2600"
"11","0","Legal, Finance and Accounting","Legal, Fin and Account","NotSet","01 Sep 2019","31 Dec 2600"
"22","4","Education and Childcare","Education and Child","NotSet","01 Sep 2019","31 Dec 2600"
"23","5","Design, Surveying and Planning for Construction","Design, Survey and Plan","NotSet","01 Sep 2019","31 Dec 2600"
"29","7","Digital Production, Design and Development","Digital Prod, Des and Dev","NotSet","01 Sep 2019","31 Dec 2600"
