"StandardSectorCode","StandardSectorCodeDesc","StandardSectorCodeDesc2","EffectiveFrom","EffectiveTo"
"1","Actuarial ","Actuarial ","01 Aug 2014",""
"10","Horticulture","Horticulture","26 Mar 2015",""
"11","Newspaper and Broadcast Media","Newspaper and Broadcast Media","26 Mar 2015",""
"12","Property Services","Property Services","26 Mar 2015",""
"13","Rail Design","Rail Design","26 Mar 2015",""
"14","Maritime","Maritime","01 Aug 2015",""
"15","Nuclear","Nuclear","01 Aug 2015",""
"16","Public Service","Public Service","01 Aug 2015",""
"17","Conveyancing","Conveyancing","01 Aug 2015",""
"18","Law","Law","01 Aug 2015",""
"19","Electrotechnical","Electrotechnical","01 Aug 2015",""
"2","Aerospace","Aerospace","01 Aug 2014",""
"20","Refrigeration Air Conditioning and Heat Pump","Refrigeration Air Conditioning and Heat Pump","01 Aug 2015",""
"21","Surveying","Surveying","01 Aug 2015",""
"22","Defence","Defence","01 Aug 2015",""
"23","Butchery","Butchery","01 Aug 2015",""
"24","Leadership and Management","Leadership and Management","01 Aug 2015",""
"25","Adult Care","Adult Care","01 Aug 2015",""
"26","Aviation","Aviation","01 Aug 2015",""
"27","Insurance","Insurance","01 Aug 2015",""
"28","Papermaking","Papermaking","01 Aug 2015",""
"29","Public Sector","Public Sector","01 Aug 2015",""
"3","Automotive","Automotive","01 Aug 2014",""
"30","Rail Engineering","Rail Engineering","01 Aug 2015",""
"31","Retail","Retail","01 Aug 2015",""
"32","TV Production and Broadcasting","TV Production and Broadcasting","01 Aug 2015",""
"33","Visual Effects","Visual Effects","01 Aug 2015",""
"34","Welding","Welding","01 Aug 2015",""
"35","Automotive Retail","Automotive Retail","01 Aug 2015",""
"36","Housing","Housing","01 Aug 2015",""
"37","Non-destructive Testing","Non-destructive Testing","01 Aug 2015",""
"38","Energy Management","Energy Management","01 Aug 2015",""
"39","Land-based Engineering Standards","Land-based Engineering Standards","01 Aug 2015",""
"4","Life and Industrial Sciences","Life and Industrial Sciences","01 Aug 2014",""
"40","Live Events","Live Events","01 Aug 2015",""
"41","Bespoke Tailoring","Bespoke Tailoring","01 Aug 2015",""
"42","Boatbuilding","Boatbuilding","01 Aug 2015",""
"43","Management Consultancy","Management Consultancy","01 Aug 2015",""
"44","Hospitality","Hospitality","01 Aug 2015",""
"45","Engineering, Design and Draughting","Engineering, Design and Draughting","01 Aug 2015",""
"46","Healthcare","Healthcare","01 Aug 2015",""
"47","Advanced Manufacturing","Advanced Manufacturing","01 Aug 2015",""
"48","Transport","Transport","01 Aug 2015",""
"49","HM Armed Forces","HM Armed Forces","01 Aug 2015",""
"5","Food and Drink","Food and Drink","01 Aug 2014",""
"50","Airworthiness","Airworthiness","01 Aug 2015",""
"51","Logistics and supply chain","Logistics and supply chain","01 Aug 2015",""
"52","Accountancy","Accountancy","01 Aug 2015",""
"53","Travel","Travel","01 Aug 2015",""
"54","Customer Service","Customer Service","01 Aug 2015",""
"55","Construction","Construction","01 Aug 2016",""
"56","Fire Emergency and Security Systems","Fire Emergency and Security Systems","01 Aug 2016",""
"57","Project Management","Project Management","01 Aug 2016",""
"58","Bus, Coach and HGV","Bus, Coach and HGV","01 Aug 2016",""
"59","Furniture","Furniture","01 Aug 2016",""
"6","Dental Health","Dental Health","01 Aug 2014",""
"60","Groundsmanship","Groundsmanship","01 Aug 2016",""
"61","Event Management","Event Management","01 Aug 2016",""
"62","Ambulance","Ambulance","01 Aug 2016",""
"63","Hair and Beauty","Hair and Beauty","01 Aug 2016",""
"64","Craft","Craft","01 Aug 2016",""
"65","Composites","Composites","01 Aug 2016",""
"66","Facilities Management","Facilities Management","01 Aug 2016",""
"67","Building Services Engineering","Building Services Engineering","01 Aug 2016",""
"68","Engineering","Engineering","01 Aug 2016",""
"69","Nursing","Nursing","01 Aug 2016",""
"7","Digital Industries","Digital Industries","01 Aug 2014",""
"70","Creative and Design","Creative and Design","01 May 2017",""
"71","Engineering and Manufacturing","Engineering and Manufacturing","01 May 2017",""
"72","Health and Science","Health and Science","01 Jun 2017",""
"73","Agriculture, Environmental and Animal Care","Agriculture, Environmental and Animal Care","01 Jun 2017",""
"74","Sales, Marketing and Procurement","Sales, Marketing and Procurement","01 Aug 2017",""
"75","Business","Business","18 Sep 2017",""
"8","Energy and Utilities","Energy and Utilities","18 Mar 2015",""
"9","Financial Services ","Financial Services ","26 Mar 2015",""
