"ValidityCategory","FundingCategory","EffectiveFrom","EffectiveTo","Comments"
"ADV_Learn_Loan","24+Loan","01 Aug 2013","",""
"Adult_Skills","ADULT_LR","31 Jul 2013","31 Jul 2013",""
"Unemployed","ADULT_LR","31 Jul 2013","31 Jul 2013",""
"Apprenticeships","APP_ACT_COST","31 Jul 2013","",""
"Standard_Trailblazer","App_May_2017","01 Aug 2014","",""
"Apprenticeships","App_May_2017_EM","01 Aug 2016","",""
"Adult_Skills","ER_OTHER","31 Jul 2013","31 Jul 2013",""
"Unemployed","ER_OTHER","31 Jul 2013","31 Jul 2013",""
"ESF","ESF","01 Aug 2015","",""
"Adult_Skills","Matrix","01 Aug 2013","",""
"ADV_Learn_Loan","Matrix","01 Aug 2013","",""
"OLASS_Adult","Matrix","01 Aug 2013","",""
"Unemployed","Matrix","01 Aug 2013","",""
"OLASS_Adult","OLASS_ADULT","31 Jul 2013","31 Jul 2013",""
"Standard_Trailblazer","StandardTblazer","01 Aug 2014","",""
